English,Spanish
the apple,la manzana
the banana,el plátano
the orange,la naranja
the lemon,el limón
the lime,la lima
the grapes,las uvas
the strawberry,la fresa
the blueberry,el arándano
the raspberry,la frambuesa
the blackberry,la mora
the watermelon,la sandía
the cantaloupe,el melón
the pineapple,la piña
the mango,el mango
the papaya,la papaya
the peach,el melocotón
the pear,la pera
the plum,la ciruela
the cherry,la cereza
the apricot,el albaricoque
the kiwi,el kiwi
the avocado,el aguacate
the tomato,el tomate
the cucumber,el pepino
the carrot,la zanahoria
the lettuce,la lechuga
the spinach,la espinaca
the broccoli,el brócoli
the cauliflower,la coliflor
the cabbage,la col
the potato,la papa
the sweet potato,la batata
the onion,la cebolla
the garlic,el ajo
the bell pepper,el pimiento
the chili pepper,el ají
the mushroom,el champiñón
the zucchini,el calabacín
the eggplant,la berenjena
the corn,el maíz
the peas,los guisantes
the green beans,las judías verdes
the asparagus,los espárragos
the celery,el apio
the radish,el rábano
the beet,la remolacha
the artichoke,la alcachofa
the leek,el puerro
the pumpkin,la calabaza
the okra,el quingombó
