English,Spanish
the chips,las papas fritas
the popcorn,las palomitas
the pretzel,el pretzel
the nachos,los nachos
the granola,la granola
the cereal bar,la barra de cereal
the trail mix,la mezcla de frutos secos
the brownie,el brownie
the pudding,el pudín
the custard,el flan
the cupcake,el cupcake
the macaron,el macaron
the chocolate cake,el pastel de chocolate
the fruit salad,la ensalada de frutas
the broth,el caldo
the stock,el fondo
the quinoa,la quinoa
the barley,la cebada
the millet,el mijo
the rye,el centeno
the wheat,el trigo
the cornstarch,la maicena
the baking powder,el polvo de hornear
the yeast,la levadura
the coconut,el coco
the paprika,el pimentón
the avocado oil,el aceite de aguacate
the sesame oil,el aceite de sésamo
the tofu,el tofu
the tempeh,el tempeh
the seitan,el seitán
the edamame,el edamame
the noodles,los fideos
the pesto,el pesto
the risotto,el risotto
the couscous,el cuscús
the hummus,el hummus
the guacamole,el guacamole
the salsa,la salsa
the quesadilla,la quesadilla
the enchilada,la enchilada
the falafel,el falafel
the shawarma,el shawarma
the souvlaki,el souvlaki
the kimchi,el kimchi
the miso,el miso
the sashimi,el sashimi
the tempura,la tempura
the dumpling,la empanadilla
the focaccia,la focaccia
