English,Spanish
the kitchen,la cocina
the refrigerator,la nevera
the oven,el horno
the stove,la estufa
the microwave,el microondas
the sink,el fregadero
the cabinet,el armario
the drawer,el cajón
the table,la mesa
the chair,la silla
the countertop,la encimera
the dishwasher,el lavavajillas
the coffee maker,la cafetera
the toaster,la tostadora
the kettle,el hervidor
the food processor,el procesador de alimentos
the mixer,la batidora
the blender,la licuadora
the juicer,el exprimidor
the frying pan,la sartén
the saucepan,el cazo
the pot,la olla
the wok,el wok
the griddle,la plancha
the baking sheet,la bandeja de horno
the mixing bowl,el bol
the colander,el colador
the grater,el rallador
the cutting board,la tabla de cortar
the knife,el cuchillo
the fork,el tenedor
the spoon,la cuchara
the measuring cup,la taza medidora
the rolling pin,el rodillo
the spatula,la espátula
the tongs,las pinzas
the whisk,el batidor
the peeler,el pelador
the can opener,el abrelatas
the bottle opener,el abridor de botellas
the corkscrew,el sacacorchos
the salt shaker,el salero
the pepper mill,el molinillo de pimienta
the dish soap,el jabón para platos
the sponge,la esponja
the dish towel,la toalla de cocina
the cleaning cloth,el paño de cocina
the trash bag,la bolsa de basura
the trash bin liner,el forro para basura
the broom,la escoba
